disease,description
Acute Flaccid Myelitis (AFM),"A rare but serious neurological condition that affects the spinal cord, causing muscle weakness and paralysis."
Addison's Disease,A rare disorder of the adrenal glands causing insufficient production of certain hormones.
Alphaviruses,"A group of viruses transmitted by mosquitoes that cause fever and joint pain, including chikungunya and Eastern Equine Encephalitis."
Amyotrophic Lateral Sclerosis (ALS),A progressive neurodegenerative disease that affects nerve cells in the brain and spinal cord.
Ankylosing Spondylitis,"A type of arthritis that primarily affects the spine, causing chronic pain and stiffness."
Arboviral Encephalitis,"A viral infection transmitted by mosquitoes that affects the brain, causing inflammation and neurological symptoms."
Autism Spectrum Disorder (ASD),"A developmental disorder characterized by difficulties with social interaction, communication, and restricted and repetitive behavior."
Babesiosis,"A parasitic infection transmitted by ticks, similar to malaria, that affects red blood cells."
Bacterial Vaginosis,"A common infection caused by an imbalance of bacteria in the vagina, leading to discharge and odor."
Bladder Cancer,A type of cancer that begins in the cells of the bladder and may cause blood in urine.
Breast Cancer,"A type of cancer that forms in the cells of the breasts, often detected by a lump or mammogram."
Cervical Cancer,"A type of cancer that occurs in the cells of the cervix, often caused by the human papillomavirus (HPV)."
Chagas Disease,"A tropical parasitic disease spread by the triatomine bug, causing heart and digestive issues."
Chikungunya,A viral disease transmitted by mosquitoes that causes fever and severe joint pain.
Cholera,"An acute diarrheal illness caused by infection of the intestine with *Vibrio cholerae* bacteria, usually from contaminated water or food."
Clostridium Difficile (C. diff),"A bacterial infection that causes inflammation of the colon and severe diarrhea, often following antibiotic use."
Colon Cancer,"A type of cancer that begins in the large intestine (colon), often developing from polyps."
Conjunctivitis,"Inflammation or infection of the outer membrane of the eyeball and the inner eyelid, commonly known as pink eye."
Crabs (Pubic Lice),"An infestation of the hair-bearing areas of the body, especially the pubic region, with pubic lice."
Creutzfeldt-Jakob Disease,"A rare, degenerative, and fatal brain disorder caused by misfolded proteins (prions)."
Crohns Disease,A chronic inflammatory bowel disease (IBD) affecting the lining of the digestive tract.
Cyclospora,"A parasitic infection of the intestines causing diarrhea, often associated with contaminated food or water."
Cysticercosis,"A tissue infection caused by the pork tapeworm, *Taenia solium*."
Cytomegalovirus (CMV),A common virus that can infect people of all ages and cause complications in immunocompromised individuals and during pregnancy.
Dengue Fever,"A mosquito-borne viral infection causing flu-like symptoms that can develop into severe dengue, which can be fatal."
Diphtheria,"A serious bacterial infection affecting the mucous membranes of the throat and nose, leading to breathing difficulties and complications if untreated."
E. Coli,"A bacterial infection that can cause foodborne illness, often resulting in diarrhea and stomach cramps."
Eastern Equine Encephalitis Virus (EEEV),"A rare but serious viral infection transmitted by mosquitoes, causing brain inflammation."
Ebola Virus Hemorrhagic Fever,A severe and often fatal viral hemorrhagic fever caused by the Ebola virus.
Endometrial Cancer,A type of cancer that begins in the lining of the uterus (endometrium).
Esophageal Cancer,A cancer of the tube that runs from the throat to the stomach.
Giardiasis,"A parasitic infection that causes diarrhea, often transmitted through contaminated water or food."
